project,country,province_state,project_type,primary_naics,capex_billion,status,status_3cat,cause_category,blocking_jurisdiction,evidence_score,source_type,source_link,source_quote,proposed_year,expected_in_service_year,actual_cancel_delay_year,delay_years_by_2026
Energy East,Canada,AB-NB,Crude pipeline,486A,15.7,Cancelled,Delayed/cancelled,Regulatory review uncertainty,Canada,3,Company/regulatory source,,,2013,2018,2017,8
Northern Gateway,Canada,AB-BC,Crude pipeline,486A,7.9,Cancelled,Delayed/cancelled,Legal/consultation risk,Canada,2,Court/government decision,,,2006,2019,2016,7
Teck Frontier,Canada,Alberta,Oil sands,211,20.6,Withdrawn,Delayed/cancelled,Policy/climate uncertainty,Canada,3,CEO letter/company statement,,,2011,2026,2020,0
Keystone XL,Cross-border,AB-US,Crude pipeline,486A,8.0,Cancelled,Delayed/cancelled,U.S. permit revocation,United States,3,Company/government source,,,2008,2021,2021,5
Pacific NorthWest LNG,Canada,British Columbia,LNG,211,36.0,Cancelled,Delayed/cancelled,Market conditions,Market/global,1,Company statement,,,2013,2022,2017,4
Energie Saguenay,Canada,Quebec,LNG,211,14.0,Rejected,Delayed/cancelled,Environmental assessment decision,Canada/Quebec,2,Government decision,,,2014,2025,2022,1
Mackenzie Gas Project,Canada,Northwest Territories,Natural gas pipeline,4862,16.2,Cancelled,Delayed/cancelled,Market conditions and regulatory delay,Mixed,1,Company/regulatory source,,,2004,2018,2017,8
Bay du Nord,Canada,Newfoundland and Labrador,Offshore oil,211,16.0,Delayed,Delayed/cancelled,Cost escalation,Market/economic,1,Company statement,,,2018,2028,2023,0
Trans Mountain Expansion,Canada,AB-BC,Crude pipeline,486A,34.0,Completed after delay,Operating/completed,Regulatory/legal/cost escalation,Canada,2,Regulatory/company source,,,2013,2022,2024,2
Coastal GasLink,Canada,British Columbia,Natural gas pipeline,4862,14.5,Completed after delay,Operating/completed,Legal/consultation/cost escalation,Canada,2,Company/regulatory source,,,2012,2020,2023,3
LNG Canada Phase 1,Canada,British Columbia,LNG,211,40.0,Under construction,Starting/advancing,Proceeding,Canada,0,Company statement,,,2018,2025,2025,0
Cedar LNG,Canada,British Columbia,LNG,211,5.5,Approved,Starting/advancing,Proceeding,Canada,0,Company/government source,,,2021,2028,2024,0
Woodfibre LNG,Canada,British Columbia,LNG,211,7.0,Under construction,Starting/advancing,Proceeding,Canada,0,Company statement,,,2015,2027,2023,0
Ksi Lisims LNG,Canada,British Columbia,LNG,211,10.0,Under review,Starting/advancing,Regulatory review ongoing,Canada,1,Regulatory source,,,2021,2028,2026,0
Grassy Mountain Coal Project,Canada,Alberta,Mining,21,0.8,Rejected,Delayed/cancelled,Environmental assessment decision,Canada/Alberta,2,Government decision,,,2015,2024,2021,2
